{'loss': 20.197, 'grad_norm': 95521.5, 'learning_rate': 4.9984472049689445e-05, 'epoch': 0.0}
{'loss': 20.4331, 'grad_norm': 9959.302734375, 'learning_rate': 4.996894409937888e-05, 'epoch': 0.0}
{'loss': 20.1684, 'grad_norm': 42364.2890625, 'learning_rate': 4.9953416149068324e-05, 'epoch': 0.0}
{'loss': 19.9699, 'grad_norm': 17690.634765625, 'learning_rate': 4.993788819875777e-05, 'epoch': 0.0}
{'loss': 19.1871, 'grad_norm': 57582.76953125, 'learning_rate': 4.992236024844721e-05, 'epoch': 0.01}
{'loss': 18.5746, 'grad_norm': 34421.01953125, 'learning_rate': 4.9906832298136646e-05, 'epoch': 0.01}
{'loss': 18.0718, 'grad_norm': 20718.27734375, 'learning_rate': 4.989130434782609e-05, 'epoch': 0.01}
{'loss': 17.9132, 'grad_norm': 369149.875, 'learning_rate': 4.9875776397515526e-05, 'epoch': 0.01}
{'loss': 17.1906, 'grad_norm': 31659.4609375, 'learning_rate': 4.986024844720497e-05, 'epoch': 0.01}
{'loss': 16.6188, 'grad_norm': 105837.8359375, 'learning_rate': 4.984472049689442e-05, 'epoch': 0.01}
{'loss': 16.5208, 'grad_norm': 19203.48828125, 'learning_rate': 4.9829192546583854e-05, 'epoch': 0.01}
{'loss': 16.2595, 'grad_norm': 51595.80078125, 'learning_rate': 4.98136645962733e-05, 'epoch': 0.01}
{'loss': 14.8647, 'grad_norm': 80180.0234375, 'learning_rate': 4.9798136645962733e-05, 'epoch': 0.02}
{'loss': 14.7529, 'grad_norm': 47213.265625, 'learning_rate': 4.9782608695652176e-05, 'epoch': 0.02}
{'loss': 15.028, 'grad_norm': 82187.8671875, 'learning_rate': 4.976708074534161e-05, 'epoch': 0.02}
{'loss': 14.127, 'grad_norm': 12600.4248046875, 'learning_rate': 4.975155279503106e-05, 'epoch': 0.02}
{'loss': 14.1128, 'grad_norm': 16956.12890625, 'learning_rate': 4.97360248447205e-05, 'epoch': 0.02}
{'loss': 13.7899, 'grad_norm': 8337.955078125, 'learning_rate': 4.972049689440994e-05, 'epoch': 0.02}
{'loss': 13.9467, 'grad_norm': 162343.15625, 'learning_rate': 4.9704968944099384e-05, 'epoch': 0.02}
{'loss': 13.692, 'grad_norm': 16978.189453125, 'learning_rate': 4.968944099378882e-05, 'epoch': 0.02}
{'loss': 12.9981, 'grad_norm': 234564.78125, 'learning_rate': 4.967391304347826e-05, 'epoch': 0.03}
